start_date,end_date
2011-05-30,2011-05-30
2011-06-13,2011-06-13
2011-06-15,2011-06-15
2011-06-20,2011-06-20
2011-06-23,2011-06-23
2011-07-05,2011-07-05
2011-07-12,2011-07-12
2011-07-15,2011-07-15
2011-07-20,2011-07-20
2011-07-29,2011-07-30
2011-08-08,2011-08-08
2011-08-12,2011-08-13
2011-08-15,2011-08-15
2011-08-17,2011-08-17
2011-08-31,2011-08-31
2011-09-02,2011-09-02
2011-09-08,2011-09-08
2011-09-13,2011-09-14
2011-09-16,2011-09-16
2011-09-21,2011-09-22
2011-09-25,2011-09-25
2011-09-29,2011-09-29
2011-10-03,2011-10-04
2011-10-06,2011-10-06
2011-10-08,2011-10-08
2011-10-10,2011-10-11
2011-10-13,2011-10-14
2011-10-20,2011-10-20
2011-10-22,2011-10-24
2011-10-26,2011-10-26
2011-10-28,2011-10-28
2011-10-31,2012-02-05
2012-02-07,2012-02-09
2012-02-12,2012-02-15
2012-02-17,2012-02-21
2012-02-23,2012-02-28
2012-03-01,2012-03-02
2012-03-10,2012-03-11
2012-03-13,2012-03-13
2012-03-16,2012-03-19
2012-03-22,2012-03-22
2012-03-24,2012-03-24
2012-03-27,2012-03-27
2012-04-06,2012-04-08
2012-04-14,2012-04-14
2012-04-16,2012-04-17
2012-04-19,2012-04-21
2012-04-24,2012-04-24
2012-04-27,2012-04-27
2012-05-11,2012-05-11
2012-05-30,2012-05-30
2012-06-02,2012-06-02
2012-06-12,2012-06-12
2012-06-24,2012-06-25
2012-07-14,2012-07-14
2012-07-16,2012-07-16
2012-07-18,2012-07-18
2012-07-23,2012-07-24
2012-08-01,2012-08-01
2012-08-07,2012-08-07
2012-08-11,2012-08-11
2012-08-19,2012-08-19
2012-08-22,2012-08-23
2012-08-29,2012-08-29
2012-09-01,2012-09-01
2012-09-07,2012-09-07
2012-09-10,2012-09-10
2012-09-13,2012-09-13
2012-09-18,2012-09-19
2012-09-23,2012-09-23
2012-09-25,2012-09-25
2012-09-27,2012-09-27
2012-09-30,2012-10-01
2012-10-05,2012-10-05
2012-10-08,2012-10-08
2012-10-10,2012-10-11
2012-10-15,2012-10-15
2012-10-17,2012-10-21
2012-10-23,2012-10-24
2012-10-30,2012-10-30
2012-11-01,2013-02-19
2013-02-22,2013-02-23
2013-02-26,2013-03-01
2013-03-03,2013-03-03
2013-03-05,2013-03-06
2013-03-09,2013-03-13
2013-03-15,2013-03-20
2013-03-23,2013-03-23
2013-03-30,2013-04-01
2013-04-05,2013-04-05
2013-04-07,2013-04-07
2013-04-10,2013-04-17
2013-04-23,2013-04-23
2013-04-26,2013-04-27
2013-04-29,2013-04-29
2013-05-07,2013-05-07
2013-05-17,2013-05-17
2013-05-22,2013-05-23
2013-05-26,2013-05-26
2013-06-01,2013-06-01
2013-06-11,2013-06-11
2013-06-14,2013-06-14
2013-06-16,2013-06-16
2013-06-20,2013-06-20
2013-06-30,2013-06-30
2013-07-18,2013-07-18
2013-07-22,2013-07-22
2013-07-24,2013-07-24
2013-08-09,2013-08-09
2013-08-15,2013-08-15
2013-08-19,2013-08-19
2013-08-22,2013-08-22
2013-09-09,2013-09-09
2013-09-19,2013-09-20
2013-09-23,2013-09-23
2013-09-26,2013-09-26
2013-09-28,2013-09-29
2013-10-06,2013-10-09
2013-10-15,2013-10-15
2013-10-18,2013-10-18
2013-10-23,2013-10-26
2013-10-29,2013-10-29
2013-11-01,2013-11-01
2013-11-04,2014-02-05
2014-02-07,2014-02-12
2014-02-14,2014-02-22
2014-02-24,2014-02-24
2014-02-27,2014-03-05
2014-03-07,2014-03-08
2014-03-10,2014-03-10
2014-03-15,2014-03-16
2014-03-21,2014-03-21
2014-03-23,2014-03-23
2014-03-25,2014-03-25
2014-04-02,2014-04-02
2014-04-06,2014-04-06
2014-04-11,2014-04-11
2014-04-13,2014-04-14
2014-04-17,2014-04-17
2014-04-29,2014-04-29
2014-05-01,2014-05-01
2014-05-04,2014-05-04
2014-05-08,2014-05-08
2014-05-11,2014-05-14
2014-05-27,2014-05-28
2014-06-01,2014-06-02
2014-06-07,2014-06-07
2014-06-24,2014-06-24
2014-06-29,2014-07-01
2014-07-12,2014-07-12
2014-08-18,2014-08-18
2014-08-23,2014-08-23
2014-08-25,2014-08-26
2014-08-31,2014-08-31
2014-09-10,2014-09-10
2014-09-22,2014-09-23
2014-10-06,2014-10-06
2014-10-08,2014-10-10
2014-10-12,2014-10-12
2014-10-14,2014-10-16
2014-10-19,2014-10-21
2014-10-24,2014-10-28
2014-11-02,2015-02-08
2015-02-12,2015-02-14
2015-02-19,2015-02-22
2015-02-24,2015-02-24
2015-02-27,2015-02-28
2015-03-02,2015-03-04
2015-03-07,2015-03-11
2015-03-20,2015-03-20
2015-03-23,2015-03-23
2015-03-27,2015-03-30
2015-04-01,2015-04-05
2015-04-07,2015-04-07
2015-04-19,2015-04-19
2015-04-26,2015-04-26
2015-04-28,2015-04-29
2015-05-01,2015-05-01
2015-05-07,2015-05-08
2015-05-13,2015-05-13
2015-05-18,2015-05-18
2015-05-21,2015-05-21
2015-05-27,2015-05-27
2015-06-14,2015-06-14
2015-06-18,2015-06-19
2015-07-11,2015-07-11
2015-07-13,2015-07-13
2015-07-22,2015-07-22
2015-07-26,2015-07-26
2015-07-28,2015-07-28
2015-08-26,2015-08-26
2015-08-28,2015-08-28
2015-09-02,2015-09-03
2015-09-05,2015-09-05
2015-09-16,2015-09-17
2015-09-21,2015-09-21
2015-09-30,2015-10-01
2015-10-22,2015-10-25
2015-10-29,2015-10-29
2015-11-01,2015-11-01
2015-11-04,2016-02-12
2016-02-14,2016-02-15
2016-02-18,2016-02-22
2016-02-24,2016-02-24
2016-02-26,2016-02-26
2016-03-03,2016-03-10
2016-03-14,2016-03-15
2016-03-23,2016-03-23
2016-03-25,2016-03-27
2016-03-29,2016-03-29
2016-03-31,2016-04-01
2016-04-10,2016-04-10
2016-04-14,2016-04-14
2016-04-20,2016-04-20
2016-04-26,2016-04-26
2016-05-21,2016-05-21
2016-05-28,2016-05-28
2016-06-08,2016-06-08
2016-06-11,2016-06-12
2016-06-16,2016-06-16
2016-06-18,2016-06-19
2016-06-27,2016-06-27
2016-07-01,2016-07-01
2016-07-04,2016-07-05
2016-07-07,2016-07-08
2016-07-15,2016-07-15
2016-07-23,2016-07-23
2016-07-29,2016-07-30
2016-08-01,2016-08-01
2016-08-07,2016-08-07
2016-08-11,2016-08-11
2016-08-13,2016-08-13
2016-08-16,2016-08-16
2016-08-25,2016-08-25
2016-08-29,2016-08-30
2016-09-01,2016-09-01
2016-09-21,2016-09-21
2016-09-23,2016-09-23
2016-10-05,2016-10-05
2016-10-11,2016-10-14
2016-10-17,2016-10-17
2016-10-21,2016-10-22
2016-10-25,2017-02-06
2017-02-09,2017-02-12
2017-02-16,2017-02-20
2017-02-26,2017-02-26
2017-03-01,2017-03-02
2017-03-04,2017-03-04
2017-03-07,2017-03-08
2017-03-10,2017-03-11
2017-03-14,2017-03-14
2017-03-17,2017-03-17
2017-03-25,2017-03-26
2017-04-02,2017-04-03
2017-04-13,2017-04-13
2017-04-25,2017-04-25
2017-04-29,2017-04-29
2017-05-15,2017-05-15
2017-05-18,2017-05-18
2017-05-31,2017-05-31
2017-06-02,2017-06-02
2017-06-05,2017-06-05
2017-06-08,2017-06-08
2017-06-12,2017-06-12
2017-06-18,2017-06-18
2017-06-20,2017-06-20
2017-06-30,2017-07-01
2017-07-11,2017-07-12
2017-07-24,2017-07-24
2017-07-29,2017-07-29
2017-08-02,2017-08-02
2017-08-21,2017-08-24
2017-09-02,2017-09-02
2017-09-07,2017-09-10
2017-09-13,2017-09-13
2017-09-19,2017-09-19
2017-09-22,2017-09-22
2017-09-26,2017-09-27
2017-09-29,2017-10-05
2017-10-08,2017-10-11
2017-10-14,2017-10-14
2017-10-16,2017-10-18
2017-10-22,2017-10-22
2017-10-26,2017-10-31
2017-11-04,2018-02-07
2018-02-09,2018-02-12
2018-02-14,2018-02-14
2018-02-16,2018-02-26
2018-03-03,2018-03-03
2018-03-08,2018-03-11
2018-03-13,2018-03-14
2018-03-20,2018-03-20
2018-03-22,2018-03-25
2018-03-28,2018-03-28
2018-04-02,2018-04-02
2018-04-06,2018-04-06
2018-04-08,2018-04-08
2018-04-17,2018-04-18
2018-04-21,2018-04-21
2018-04-25,2018-04-25
2018-04-29,2018-04-29
2018-05-01,2018-05-01
2018-06-05,2018-06-05
2018-06-19,2018-06-19
2018-06-24,2018-06-24
2018-07-02,2018-07-02
2018-07-06,2018-07-06
2018-08-19,2018-08-19
2018-08-25,2018-08-26
2018-08-29,2018-08-30
2018-09-01,2018-09-01
2018-09-17,2018-09-17
2018-09-21,2018-09-22
2018-09-26,2018-09-26
2018-09-30,2018-09-30
2018-10-03,2018-10-03
2018-10-05,2018-10-07
